,iid,id,wave,partner,pid,match,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,age,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr_important,sinc_important,intel_important,fun_important,amb_important,shar_important,attr_self,sinc_self,fun_self,intel_self,amb_self,dec,attr,sinc,intel,fun,amb,shar,like,prob
0,1,1.0,1,1,11.0,0,0.14,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,4,2,1,6,3,5,6.0,8.0,8.0,8.0,7.0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0
1,1,1.0,1,2,12.0,0,0.54,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,1,2,4,3,6,6.0,8.0,8.0,8.0,7.0,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0
2,1,1.0,1,3,13.0,1,0.16,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,1,2,4,3,5,6.0,8.0,8.0,8.0,7.0,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,10.0
3,1,1.0,1,4,14.0,1,0.61,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,3,2,1,5,4,6,6.0,8.0,8.0,8.0,7.0,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0
4,1,1.0,1,5,15.0,1,0.21,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,2,1,4,6,3,6.0,8.0,8.0,8.0,7.0,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0
5,1,1.0,1,6,16.0,0,0.25,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,2,1,3,5,4,6.0,8.0,8.0,8.0,7.0,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0
6,1,1.0,1,7,17.0,0,0.34,30.0,35.0,15.0,25.0,10.0,5.0,10.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,4,2,1,3,5,6,6.0,8.0,8.0,8.0,7.0,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0
7,1,1.0,1,8,18.0,0,0.5,27.0,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,1,2,3,4,6,6.0,8.0,8.0,8.0,7.0,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0
8,1,1.0,1,9,19.0,1,0.28,28.0,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,2,1,5,4,3,6.0,8.0,8.0,8.0,7.0,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0
9,1,1.0,1,10,20.0,0,-0.36,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,3,2,1,5,4,6,6.0,8.0,8.0,8.0,7.0,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0
10,2,2.0,1,1,11.0,0,0.29,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0
11,2,2.0,1,2,12.0,0,0.18,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0
12,2,2.0,1,3,13.0,0,0.1,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0
13,2,2.0,1,4,14.0,1,-0.21,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,4,2,3,6,5,7.0,5.0,10.0,8.0,3.0,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0
14,2,2.0,1,5,15.0,0,0.32,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0
15,2,2.0,1,6,16.0,0,0.73,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,4,2,3,6,5,7.0,5.0,10.0,8.0,3.0,0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0
16,2,2.0,1,7,17.0,0,0.6,30.0,35.0,15.0,25.0,10.0,5.0,10.0,0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,1,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0
17,2,2.0,1,8,18.0,0,0.07,27.0,33.33,11.11,11.11,11.11,11.11,22.22,1,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,4,2,3,6,5,7.0,5.0,10.0,8.0,3.0,0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0
18,2,2.0,1,9,19.0,1,0.11,28.0,50.0,0.0,25.0,10.0,0.0,15.0,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,4,2,3,6,5,7.0,5.0,10.0,8.0,3.0,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0
19,2,2.0,1,10,20.0,0,0.39,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,24.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,1,5,2,3,6,4,7.0,5.0,10.0,8.0,3.0,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0
20,3,3.0,1,1,11.0,0,-0.24,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,1,3,2,4,5,6,8.0,9.0,8.0,9.0,8.0,0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0
21,3,3.0,1,2,12.0,0,-0.14,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,5,1,3,4,6,8.0,9.0,8.0,9.0,8.0,0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0
22,3,3.0,1,3,13.0,0,0.09,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,3,1,5,4,6,8.0,9.0,8.0,9.0,8.0,0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0
23,3,3.0,1,4,14.0,0,-0.04,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,5,1,3,4,6,8.0,9.0,8.0,9.0,8.0,0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0
24,3,3.0,1,5,15.0,0,-0.14,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1,6.0,10.0,8.0,6.0,1.0,1.0,6.0,1.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,3,1,5,4,6,8.0,9.0,8.0,9.0,8.0,0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0
25,3,3.0,1,6,16.0,0,-0.3,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,5,1,4,3,6,8.0,9.0,8.0,9.0,8.0,0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,7.0
26,3,3.0,1,7,17.0,0,-0.26,30.0,35.0,15.0,25.0,10.0,5.0,10.0,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,1,5,2,3,4,6,8.0,9.0,8.0,9.0,8.0,0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0
27,3,3.0,1,8,18.0,0,0.29,27.0,33.33,11.11,11.11,11.11,11.11,22.22,0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,3,1,4,5,6,8.0,9.0,8.0,9.0,8.0,0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0
28,3,3.0,1,9,19.0,0,-0.15,28.0,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,4,1,5,3,6,8.0,9.0,8.0,9.0,8.0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0
29,3,3.0,1,10,20.0,0,-0.47,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0,25.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,2,5,1,3,4,6,8.0,9.0,8.0,9.0,8.0,0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0
30,4,4.0,1,1,11.0,0,-0.18,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,1,4,2,3,5,6,7.0,8.0,9.0,7.0,8.0,0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0
31,4,4.0,1,2,12.0,0,-0.18,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,2,3,1,4,5,6,7.0,8.0,9.0,7.0,8.0,0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0
32,4,4.0,1,3,13.0,0,0.05,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,1,2,3,4,5,6,7.0,8.0,9.0,7.0,8.0,0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0
33,4,4.0,1,4,14.0,1,-0.18,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,3,1,4,2,5,6,7.0,8.0,9.0,7.0,8.0,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0
34,4,4.0,1,5,15.0,0,0.21,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,3,1,2,4,5,6,7.0,8.0,9.0,7.0,8.0,0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0
35,4,4.0,1,6,16.0,0,0.37,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,2,4,3,1,5,6,7.0,8.0,9.0,7.0,8.0,0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0
36,4,4.0,1,7,17.0,0,0.35,30.0,35.0,15.0,25.0,10.0,5.0,10.0,1,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,1,4,2,3,6,5,7.0,8.0,9.0,7.0,8.0,0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0
37,4,4.0,1,8,18.0,0,0.15,27.0,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,1,2,4,3,6,5,7.0,8.0,9.0,7.0,8.0,0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0
38,4,4.0,1,9,19.0,1,-0.47,28.0,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,4,1,3,2,5,6,7.0,8.0,9.0,7.0,8.0,1,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0
39,4,4.0,1,10,20.0,0,-0.19,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,2,1,3,4,5,6,7.0,8.0,9.0,7.0,8.0,1,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0
40,5,5.0,1,1,11.0,0,-0.43,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,1,2,5,4,6.0,3.0,6.0,10.0,8.0,0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0
41,5,5.0,1,2,12.0,0,0.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,2,1,5,4,6.0,3.0,6.0,10.0,8.0,0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0
42,5,5.0,1,3,13.0,0,-0.17,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,2,1,5,4,6.0,3.0,6.0,10.0,8.0,0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0
43,5,5.0,1,4,14.0,1,0.08,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,1,2,5,4,6.0,3.0,6.0,10.0,8.0,1,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0
44,5,5.0,1,5,15.0,0,-0.16,24.0,30.0,10.0,20.0,10.0,10.0,20.0,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,2,1,5,4,6.0,3.0,6.0,10.0,8.0,0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0
45,5,5.0,1,6,16.0,0,0.06,25.0,50.0,0.0,30.0,10.0,0.0,10.0,0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,1,2,5,4,6.0,3.0,6.0,10.0,8.0,1,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0
46,5,5.0,1,7,17.0,0,-0.05,30.0,35.0,15.0,25.0,10.0,5.0,10.0,0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,2,1,5,4,6.0,3.0,6.0,10.0,8.0,1,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0
47,5,5.0,1,8,18.0,0,0.07,27.0,33.33,11.11,11.11,11.11,11.11,22.22,0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,21.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,3,6,1,2,5,4,6.0,3.0,6.0,10.0,8.0,1,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0
