,iid,id,wave,partner,pid,match,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,age,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr_important,sinc_important,intel_important,fun_important,amb_important,shar_important,attr_fellow_want,sinc_fellow_want,intel_fellow_want,fun_fellow_want,amb_fellow_want,shar_fellow_want,attr_o_want,sinc_o_want,intel_o_want,fun_o_want,amb_o_want,shar_o_want,attr_self,sinc_self,fun_self,intel_self,amb_self,attr_perceived,sinc_perceived,intel_perceived,fun_perceived,amb_perceived,dec,attr,sinc,intel,fun,amb,shar,like,prob,age_diff
0,1,1.0,1,1,11.0,0,0.14,27.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,4,2,1,6,3,5,3,6,5,2,4,1,1,2,4,3,5,6,6.0,8.0,8.0,8.0,7.0,5,4,3,1,2,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,5-9
1,1,1.0,1,2,12.0,0,0.54,22.0,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,1,2,4,3,6,6,1,5,4,2,3,1,3,4,2,6,5,6.0,8.0,8.0,8.0,7.0,2,1,5,3,4,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,0-4
2,1,1.0,1,3,13.0,1,0.16,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,1,2,4,3,5,1,2,3,4,6,5,1,2,4,3,5,6,6.0,8.0,8.0,8.0,7.0,3,4,1,5,2,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,0-4
3,1,1.0,1,4,14.0,1,0.61,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,3,2,1,5,4,6,2,1,6,5,4,3,1,3,4,2,5,6,6.0,8.0,8.0,8.0,7.0,2,4,3,5,1,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,0-4
4,1,1.0,1,5,15.0,1,0.21,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,2,1,4,6,3,3,1,6,4,5,2,1,3,4,2,6,5,6.0,8.0,8.0,8.0,7.0,5,2,3,1,4,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,0-4
5,1,1.0,1,6,16.0,0,0.25,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,2,1,3,5,4,3,6,5,2,1,4,1,3,4,2,5,6,6.0,8.0,8.0,8.0,7.0,1,5,2,3,4,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,0-4
6,1,1.0,1,7,17.0,0,0.34,30.0,35.0,15.0,25.0,10.0,5.0,10.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,4,2,1,3,5,6,6,1,4,5,3,2,1,2,4,3,5,6,6.0,8.0,8.0,8.0,7.0,2,5,1,4,3,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,5-9
7,1,1.0,1,8,18.0,0,0.5,27.0,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,5,1,2,3,4,6,1,5,3,4,2,6,1,2,4,3,5,6,6.0,8.0,8.0,8.0,7.0,2,1,4,5,3,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,5-9
8,1,1.0,1,9,19.0,1,0.28,28.0,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,6,2,1,5,4,3,4,3,2,5,6,1,1,3,4,2,6,5,6.0,8.0,8.0,8.0,7.0,3,4,1,5,2,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,5-9
9,1,1.0,1,10,20.0,0,-0.36,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,4.0,2.0,7,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,3,2,1,5,4,6,4,2,5,1,3,6,1,2,4,3,5,6,6.0,8.0,8.0,8.0,7.0,1,4,3,5,2,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,0-4
